image,threshold,artifact_pixels,artifact_ratio,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
Abyssinian_1.jpg,0.313417,7396,0.028214,107,105,192,190
Abyssinian_10.jpg,0.394103,7225,0.027561,216,351,300,435
Abyssinian_100.jpg,0.296836,7396,0.028214,264,112,349,197
Abyssinian_101.jpg,0.242078,6794,0.025917,14,80,92,165
Abyssinian_102.jpg,0.297797,7396,0.028214,285,197,370,282
Abyssinian_103.jpg,0.251156,6794,0.025917,171,432,256,510
Abyssinian_104.jpg,0.240990,7396,0.028214,342,392,427,477
Abyssinian_105.jpg,0.317827,7310,0.027885,55,207,139,292
Abyssinian_106.jpg,0.314352,7396,0.028214,55,361,140,446
Abyssinian_107.jpg,0.269330,7396,0.028214,272,170,357,255
Abyssinian_108.jpg,0.190478,7396,0.028214,233,264,318,349
Abyssinian_109.jpg,0.206855,7396,0.028214,68,47,153,132
Abyssinian_11.jpg,0.206878,7396,0.028214,10,132,95,217
Abyssinian_110.jpg,0.325033,7396,0.028214,252,315,337,400
Abyssinian_111.jpg,0.183333,6880,0.026245,117,23,202,102
Abyssinian_112.jpg,0.213808,7396,0.028214,96,316,181,401
Abyssinian_113.jpg,0.409680,7056,0.026917,138,38,221,121
Abyssinian_114.jpg,0.418819,7056,0.026917,200,78,283,161
Abyssinian_115.jpg,0.334052,7225,0.027561,237,56,321,140
Abyssinian_116.jpg,0.395618,7056,0.026917,30,370,113,453
Abyssinian_117.jpg,0.224189,7396,0.028214,234,384,319,469
Abyssinian_118.jpg,0.344912,7396,0.028214,297,140,382,225
Abyssinian_119.jpg,0.239134,7396,0.028214,348,291,433,376
Abyssinian_12.jpg,0.167209,3978,0.015175,122,311,199,361
Abyssinian_120.jpg,0.227003,7396,0.028214,321,69,406,154
Abyssinian_121.jpg,0.314863,7396,0.028214,145,389,230,474
Abyssinian_122.jpg,0.274462,5418,0.020668,338,38,423,100
Abyssinian_123.jpg,0.367664,7396,0.028214,109,394,194,479
Abyssinian_124.jpg,0.335720,7396,0.028214,165,383,250,468
Abyssinian_125.jpg,0.277239,7310,0.027885,151,359,235,444
Abyssinian_126.jpg,0.253270,7396,0.028214,60,166,145,251
Abyssinian_127.jpg,0.209218,5160,0.019684,85,333,170,392
Abyssinian_128.jpg,0.325052,7396,0.028214,137,207,222,292
Abyssinian_129.jpg,0.249962,6106,0.023293,156,286,241,356
Abyssinian_13.jpg,0.195228,7396,0.028214,109,41,194,126
Abyssinian_130.jpg,0.330908,7310,0.027885,3,218,87,303
Abyssinian_131.jpg,0.255171,7396,0.028214,294,246,379,331
Abyssinian_132.jpg,0.212074,7396,0.028214,289,180,374,265
Abyssinian_133.jpg,0.341377,7056,0.026917,332,7,415,90
Abyssinian_134.jpg,0.227803,7396,0.028214,322,100,407,185
Abyssinian_135.jpg,0.425440,7140,0.027237,16,181,99,265
Abyssinian_136.jpg,0.269237,6192,0.023621,50,334,121,419
Abyssinian_137.jpg,0.405622,7225,0.027561,115,295,199,379
Abyssinian_138.jpg,0.254112,7396,0.028214,61,404,146,489
Abyssinian_139.jpg,0.163594,1798,0.006859,258,83,319,111
Abyssinian_14.jpg,0.434269,7056,0.026917,277,378,360,461
Abyssinian_140.jpg,0.294617,7310,0.027885,19,385,103,470
Abyssinian_141.jpg,0.213488,7396,0.028214,284,410,369,495
Abyssinian_142.jpg,0.280069,7396,0.028214,258,422,343,507
